project	det_plate
CAL	CAL246_XC.L10_24H_X3_B26
CAL	CAL062_XC.L10_24H_X2_B24
CAL	CAL189_XC.L10_24H_X2_B26
CAL	CAL127_XC.L10_24H_X3_B25
CAL	CAL166_XC.L10_24H_X1_B26
CAL	CAL148_XC.L10_24H_X2_B25
CAL	CAL229_XC.L10_24H_X3_B26
CAL	CAL155_XC.L10_24H_X1_B26
CAL	CAL130_XC.L10_24H_X1_B25
CAL	CAL116_XC.L10_24H_X1_B26
CAL	CAL186_XC.L10_24H_X3_B26
CAL	CAL025_XC.L10_24H_X1.A2_B24
CAL	CAL119_XC.L10_24H_X3_B26
CAL	CAL192_XC.L10_24H_X2_B26
CAL	CAL152_XC.L10_24H_X3_B26
CAL	CAL150_XC.L10_24H_X2_B25
CAL	CAL032_XC.L10_24H_X2_B24
CAL	CAL187_XC.L10_24H_X2_B26
CAL	CAL034_XC.L10_24H_X3_B24
CAL	CAL029_XC.L10_24H_X2_B24
CAL	CAL116_XC.L10_24H_X3_B26
CAL	CAL229_XC.L10_24H_X2_B26
CAL	CAL088_XC.L10_24H_X3_B25
CAL	CAL251_XC.L10_24H_X2_B26
CAL	CAL060_XC.L10_24H_X3_B24
CAL	CAL179_XC.L10_24H_X2_B26
CAL	CAL072_XC.L10_24H_X1_B24
CAL	CAL205_XC.L10_24H_X2_B26
CAL	CAL162_XC.L10_24H_X2_B26
CAL	CAL149_XC.L10_24H_X2_B25
CAL	CAL021_XC.L10_24H_X3_B24
CAL	CAL010_XC.L10_24H_X2_B24
CAL	CAL100_XC.L10_24H_X1_B26
CAL	CAL147_XC.L10_24H_X3_B25
CAL	CAL227_XC.L10_24H_X3_B26
CAL	CAL006_XC.L10_24H_X3_B24
CAL	CAL084_XC.L10_24H_X2_B25
CAL	CAL231_XC.L10_24H_X3_B26
CAL	CAL079_XC.L10_24H_X4_B25
CAL	CAL081_XC.L10_24H_X2_B25
CAL	CAL006_XC.L10_24H_X1_B24
CAL	CAL199_XC.L10_24H_X2_B26
CAL	CAL131_XC.L10_24H_X3_B25
CAL	CAL110_XC.L10_24H_X3_B26
CAL	CAL164_XC.L10_24H_X3_B26
CAL	CAL100_XC.L10_24H_X2_B26
CAL	CAL136_XC.L10_24H_X3_B25
CAL	CAL072_XC.L10_24H_X2_B24
CAL	CAL037_XC.L10_24H_X2_B24
CAL	CAL250_XC.L10_24H_X3_B26
CAL	CAL164_XC.L10_24H_X2_B26
CAL	CAL124_XC.L10_24H_X2_B26
CAL	CAL252_XC.L10_24H_X2_B26
CAL	CAL105_XC.L10_24H_X1_B26
CAL	CAL008_XC.L10_24H_X3_B24
CAL	CAL086_XC.L10_24H_X1_B25
CAL	CAL092_XC.L10_24H_X1_B25
CAL	CAL219_XC.L10_24H_X2_B26
CAL	CAL210_XC.L10_24H_X3_B26
CAL	CAL176_XC.L10_24H_X2_B26
CAL	CAL235_XC.L10_24H_X1_B26
CAL	CAL059_XC.L10_24H_X1_B24
CAL	CAL195_XC.L10_24H_X3_B26
CAL	CAL019_XC.L10_24H_X3_B24
CAL	CAL085_XC.L10_24H_X3_B25
CAL	CAL001_XC.L10_24H_X1_B24
CAL	CAL011_XC.L10_24H_X3_B24
CAL	CAL180_XC.L10_24H_X3_B26
CAL	CAL015_XC.L10_24H_X1_B24
CAL	CAL237_XC.L10_24H_X3_B26
CAL	CAL053_XC.L10_24H_X2_B24
CAL	CAL186_XC.L10_24H_X1_B26
CAL	CAL140_XC.L10_24H_X1_B25
CAL	CAL065_XC.L10_24H_X3_B24
CAL	CAL014_XC.L10_24H_X1_B24
CAL	CAL036_XC.L10_24H_X1_B24
CAL	CAL026_XC.L10_24H_X2_B24
CAL	CAL195_XC.L10_24H_X2_B26
CAL	CAL150_XC.L10_24H_X1_B25
CAL	CAL169_XC.L10_24H_X1_B26
CAL	CAL033_XC.L10_24H_X3_B24
CAL	CAL021_XC.L10_24H_X1_B24
CAL	CAL019_XC.L10_24H_X1_B24
CAL	CAL.DMSO001_XC.L10_24H_X5_B25
CAL	CAL115_XC.L10_24H_X2_B26
CAL	CAL152_XC.L10_24H_X1_B26
CAL	CAL234_XC.L10_24H_X1_B26
CAL	CAL034_XC.L10_24H_X2.A2_B24
CAL	CAL132_XC.L10_24H_X3_B25
CAL	CAL247_XC.L10_24H_X1_B26
CAL	CAL029_XC.L10_24H_X3_B24
CAL	CAL079_XC.L10_24H_X3_B25
CAL	CAL240_XC.L10_24H_X1_B26
CAL	CAL104_XC.L10_24H_X1_B26
CAL	CAL133_XC.L10_24H_X1_B25
CAL	CAL123_XC.L10_24H_X3_B26
CAL	CAL137_XC.L10_24H_X3_B25
CAL	CAL171_XC.L10_24H_X3_B26
CAL	CAL024_XC.L10_24H_X3_B24
CAL	CAL064_XC.L10_24H_X1_B24
CAL	CAL204_XC.L10_24H_X1_B26
CAL	CAL014_XC.L10_24H_X2_B24
CAL	CAL131_XC.L10_24H_X1_B25
CAL	CAL063_XC.L10_24H_X3_B24
CAL	CAL169_XC.L10_24H_X2_B26
CAL	CAL035_XC.L10_24H_X3_B24
CAL	CAL148_XC.L10_24H_X1_B25
CAL	CAL180_XC.L10_24H_X2_B26
CAL	CAL008_XC.L10_24H_X2_B24
CAL	CAL203_XC.L10_24H_X1_B26
CAL	CAL034_XC.L10_24H_X1_B24
CAL	CAL197_XC.L10_24H_X1_B26
CAL	CAL087_XC.L10_24H_X1_B25
CAL	CAL192_XC.L10_24H_X1_B26
CAL	CAL067_XC.L10_24H_X1_B24
CAL	CAL032_XC.L10_24H_X1_B24
CAL	CAL240_XC.L10_24H_X3_B26
CAL	CAL245_XC.L10_24H_X2_B26
CAL	CAL222_XC.L10_24H_X3_B26
CAL	CAL081_XC.L10_24H_X6_B25
CAL	CAL075_XC.L10_24H_X1_B24
CAL	CAL022_XC.L10_24H_X3_B24
CAL	CAL062_XC.L10_24H_X3_B24
CAL	CAL213_XC.L10_24H_X3_B26
CAL	CAL.DMSO001_XC.L10_24H_X1_B25
CAL	CAL179_XC.L10_24H_X3_B26
CAL	CAL043_XC.L10_24H_X2_B24
CAL	CAL058_XC.L10_24H_X3_B24
CAL	CAL049_XC.L10_24H_X3_B24
CAL	CAL217_XC.L10_24H_X1_B26
CAL	CAL214_XC.L10_24H_X1_B26
CAL	CAL185_XC.L10_24H_X1_B26
CAL	CAL194_XC.L10_24H_X1_B26
CAL	CAL250_XC.L10_24H_X1_B26
CAL	CAL046_XC.L10_24H_X3_B24
CAL	CAL141_XC.L10_24H_X3_B25
CAL	CAL004_XC.L10_24H_X2_B24
CAL	CAL137_XC.L10_24H_X1_B25
CAL	CAL070_XC.L10_24H_X3_B24
CAL	CAL077_XC.L10_24H_X2_B24
CAL	CAL062_XC.L10_24H_X1_B24
CAL	CAL055_XC.L10_24H_X2_B24
CAL	CAL051_XC.L10_24H_X2_B24
CAL	CAL130_XC.L10_24H_X2_B25
CAL	CAL178_XC.L10_24H_X1_B26
CAL	CAL233_XC.L10_24H_X1_B26
CAL	CAL232_XC.L10_24H_X2_B26
CAL	CAL002_XC.L10_24H_X3_B24
CAL	CAL118_XC.L10_24H_X3_B26
CAL	CAL207_XC.L10_24H_X3_B26
CAL	CAL074_XC.L10_24H_X2_B24
CAL	CAL056_XC.L10_24H_X2_B24
CAL	CAL107_XC.L10_24H_X2_B26
CAL	CAL020_XC.L10_24H_X2_B24
CAL	CAL134_XC.L10_24H_X2_B25
CAL	CAL013_XC.L10_24H_X2_B24
CAL	CAL014_XC.L10_24H_X3_B24
CAL	CAL226_XC.L10_24H_X2_B26
CAL	CAL228_XC.L10_24H_X1_B26
CAL	CAL149_XC.L10_24H_X3_B25
CAL	CAL240_XC.L10_24H_X2_B26
CAL	CAL250_XC.L10_24H_X2_B26
CAL	CAL076_XC.L10_24H_X1_B24
CAL	CAL164_XC.L10_24H_X1_B26
CAL	CAL226_XC.L10_24H_X1_B26
CAL	CAL071_XC.L10_24H_X1_B24
CAL	CAL082_XC.L10_24H_X5_B25
CAL	CAL047_XC.L10_24H_X1_B24
CAL	CAL153_XC.L10_24H_X3_B26
CAL	CAL207_XC.L10_24H_X1_B26
CAL	CAL188_XC.L10_24H_X3_B26
CAL	CAL067_XC.L10_24H_X2_B24
CAL	CAL108_XC.L10_24H_X2_B26
CAL	CAL213_XC.L10_24H_X1_B26
CAL	CAL220_XC.L10_24H_X2_B26
CAL	CAL099_XC.L10_24H_X2_B26
CAL	CAL018_XC.L10_24H_X2_B24
CAL	CAL214_XC.L10_24H_X3_B26
CAL	CAL175_XC.L10_24H_X1_B26
CAL	CAL170_XC.L10_24H_X3_B26
CAL	CAL136_XC.L10_24H_X2_B25
CAL	CAL090_XC.L10_24H_X2_B25
CAL	CAL184_XC.L10_24H_X2_B26
CAL	CAL023_XC.L10_24H_X1_B24
CAL	CAL039_XC.L10_24H_X2_B24
CAL	CAL212_XC.L10_24H_X2_B26
CAL	CAL193_XC.L10_24H_X2_B26
CAL	CAL211_XC.L10_24H_X1_B26
CAL	CAL080_XC.L10_24H_X1_B25
CAL	CAL055_XC.L10_24H_X3_B24
CAL	CAL119_XC.L10_24H_X2_B26
CAL	CAL071_XC.L10_24H_X2_B24
CAL	CAL193_XC.L10_24H_X3_B26
CAL	CAL033_XC.L10_24H_X1_B24
CAL	CAL112_XC.L10_24H_X3_B26
CAL	CAL084_XC.L10_24H_X1_B25
CAL	CAL101_XC.L10_24H_X1_B26
CAL	CAL228_XC.L10_24H_X2_B26
CAL	CAL057_XC.L10_24H_X2_B24
CAL	CAL147_XC.L10_24H_X2_B25
CAL	manually_failed
CAL	manually_failed
CAL	CAL023_XC.L10_24H_X2_B24
CAL	CAL182_XC.L10_24H_X3_B26
CAL	CAL007_XC.L10_24H_X1_B24
CAL	CAL105_XC.L10_24H_X3_B26
CAL	CAL118_XC.L10_24H_X1_B26
CAL	CAL184_XC.L10_24H_X1_B26
CAL	CAL241_XC.L10_24H_X2_B26
CAL	CAL217_XC.L10_24H_X3_B26
CAL	CAL249_XC.L10_24H_X3_B26
CAL	CAL139_XC.L10_24H_X2_B25
CAL	CAL163_XC.L10_24H_X2_B26
CAL	CAL218_XC.L10_24H_X2_B26
CAL	CAL155_XC.L10_24H_X2_B26
CAL	CAL106_XC.L10_24H_X3_B26
CAL	CAL094_XC.L10_24H_X2_B25
CAL	CAL161_XC.L10_24H_X1_B26
CAL	CAL058_XC.L10_24H_X1_B24
CAL	CAL145_XC.L10_24H_X1_B25
CAL	CAL052_XC.L10_24H_X3_B24
CAL	CAL170_XC.L10_24H_X2_B26
CAL	CAL095_XC.L10_24H_X2_B26
CAL	CAL172_XC.L10_24H_X2_B26
CAL	CAL138_XC.L10_24H_X1_B25
CAL	CAL229_XC.L10_24H_X1_B26
CAL	CAL080_XC.L10_24H_X4_B25
CAL	CAL241_XC.L10_24H_X3_B26
CAL	CAL080_XC.L10_24H_X5_B25
CAL	CAL096_XC.L10_24H_X2_B26
CAL	CAL017_XC.L10_24H_X1_B24
CAL	CAL221_XC.L10_24H_X3_B26
CAL	CAL152_XC.L10_24H_X2_B26
CAL	CAL157_XC.L10_24H_X2_B26
CAL	CAL208_XC.L10_24H_X2_B26
CAL	CAL001_XC.L10_24H_X2_B24
CAL	CAL083_XC.L10_24H_X1_B25
CAL	CAL238_XC.L10_24H_X1_B27
CAL	CAL025_XC.L10_24H_X2_B24
CAL	CAL036_XC.L10_24H_X2_B24
CAL	CAL031_XC.L10_24H_X3_B24
CAL	CAL171_XC.L10_24H_X2_B26
CAL	CAL033_XC.L10_24H_X2_B24
CAL	CAL029_XC.L10_24H_X1_B24
CAL	CAL074_XC.L10_24H_X1_B24
CAL	CAL005_XC.L10_24H_X1_B24
CAL	CAL079_XC.L10_24H_X6_B25
CAL	CAL037_XC.L10_24H_X1_B24
CAL	CAL252_XC.L10_24H_X3_B26
CAL	CAL047_XC.L10_24H_X3_B24
CAL	CAL209_XC.L10_24H_X2_B26
CAL	CAL030_XC.L10_24H_X1_B24
CAL	CAL194_XC.L10_24H_X3_B26
CAL	CAL048_XC.L10_24H_X1_B24
CAL	CAL134_XC.L10_24H_X3_B25
CAL	CAL145_XC.L10_24H_X2_B25
CAL	CAL058_XC.L10_24H_X2_B24
CAL	CAL161_XC.L10_24H_X3_B26
CAL	CAL254_XC.L10_24H_X2_B26
CAL	CAL200_XC.L10_24H_X3_B26
CAL	CAL088_XC.L10_24H_X1_B25
CAL	CAL200_XC.L10_24H_X2_B26
CAL	CAL253_XC.L10_24H_X2_B26
CAL	CAL069_XC.L10_24H_X1_B24
CAL	CAL222_XC.L10_24H_X2_B26
CAL	CAL028_XC.L10_24H_X3_B24
CAL	CAL158_XC.L10_24H_X2_B26
