SAMPLE_NAME	PERT_TYPE	PERT_MFC_DESC	CCSCORE	DYN_RANGE	DYN_RANGE_MAX	SPAN	MED_INT	MED_GAPDH	INV_LEVEL_01	INV_LEVEL_02	INV_LEVEL_03	INV_LEVEL_04	INV_LEVEL_05	INV_LEVEL_06	INV_LEVEL_07	INV_LEVEL_08	INV_LEVEL_09	INV_LEVEL_10
236(1,L15)	TRT	TRT	0.947591	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	7.00	11.00
237(1,M15)	TRT	TRT	0.96295	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
238(1,N15)	TRT	TRT	0.972518	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.50	5.00	6.00	6.00	6.50	7.00	11.00
239(1,O15)	TRT	TRT	0.889041	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	4.00	6.00	5.00	6.00	7.00	11.00
240(1,P15)	TRT	TRT	0.95078	3.16667	3.16667	6.5	9.00	NA	3.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	9.50
241(1,A16)	TRT	TRT	0.901389	2.75	2.75	7	9.00	NA	4.00	3.00	5.00	5.00	4.00	5.00	7.00	7.00	8.00	11.00
242(1,B16)	TRT	TRT	0.96295	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
243(1,C16)	TRT	TRT	0.850189	2.75	2.75	7	9.00	NA	4.00	3.00	6.00	5.00	4.00	5.00	6.00	7.00	8.00	11.00
244(1,D16)	TRT	TRT	0.984732	4	4	10.5	9.00	NA	3.50	4.00	5.00	5.00	5.00	6.00	6.00	7.00	8.00	14.00
245(1,E16)	TRT	TRT	0.887425	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	7.00	7.00	7.00	12.00
246(1,F16)	TRT	TRT	0.900899	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	7.00	8.00	11.00
247(1,G16)	TRT	TRT	0.972345	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	6.00	7.00	12.00
248(1,H16)	TRT	TRT	0.987804	4.16667	4.16667	9.5	9.00	NA	3.00	3.00	4.00	4.00	5.00	5.00	6.00	7.00	7.00	12.50
249(1,I16)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
250(1,J16)	TRT	TRT	0.895215	3	3	8	9.00	NA	4.00	4.00	5.00	3.00	5.00	5.00	6.00	7.00	7.00	12.00
251(1,K16)	TRT	TRT	0.897549	2.875	2.875	7.5	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	11.50
252(1,L16)	TRT	TRT	0.805605	2.8	2.8	9	9.00	NA	5.00	4.00	5.00	6.00	5.00	5.00	7.00	7.00	6.00	14.00
253(1,M16)	TRT	TRT	0.972423	3	3	8	9.00	NA	4.00	3.00	4.50	5.00	5.00	5.00	6.00	6.00	7.00	12.00
254(1,N16)	TRT	TRT	0.956954	2.75	2.75	7	9.00	NA	4.00	3.50	4.00	4.00	5.00	5.00	7.00	7.00	8.00	11.00
255(1,O16)	TRT	TRT	0.907563	2.75	2.75	7	9.00	NA	4.00	3.00	5.00	4.00	4.50	5.00	6.00	6.00	6.00	11.00
256(1,P16)	TRT	TRT	0.947272	4.33333	4.33333	10	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	6.00	13.00
257(1,A17)	TRT	TRT	0.885716	2.4	2.4	7	9.00	NA	5.00	4.00	5.00	5.00	5.00	5.00	7.00	6.00	8.00	12.00
258(1,B17)	TRT	TRT	0.900899	2.5	2.5	6	9.00	NA	4.00	3.00	5.00	4.00	4.00	6.00	6.00	6.00	8.00	10.00
259(1,C17)	TRT	TRT	0.953463	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	6.00	12.00
260(1,D17)	TRT	TRT	0.96295	2.875	2.875	7.5	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.50	11.50
261(1,E17)	TRT	TRT	0.910015	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	6.00	6.00	6.00	7.00	10.00
262(1,F17)	TRT	TRT	0.944069	3	3	8	9.00	NA	4.00	4.00	4.00	4.00	5.00	5.00	7.00	6.00	7.00	12.00
263(1,G17)	TRT	TRT	0.98165	3.66667	3.66667	8	9.00	NA	3.00	4.00	4.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
264(1,H17)	TRT	TRT	0.957335	4.66667	4.66667	11	9.00	NA	3.00	3.50	5.00	5.00	4.00	6.00	6.00	7.00	8.00	14.00
265(1,I17)	TRT	TRT	0.963128	2.75	2.75	7	9.00	NA	4.00	3.00	4.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
266(1,J17)	TRT	TRT	0.96295	3.125	3.125	8.5	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	12.50
267(1,K17)	TRT	TRT	0.950604	4	4	9	9.00	NA	3.00	4.00	4.00	5.00	4.00	6.00	6.00	6.00	7.00	12.00
268(1,L17)	TRT	TRT	0.925187	3	3	8	9.00	NA	4.00	4.00	4.00	5.00	4.00	5.00	6.00	7.00	7.00	12.00
269(1,M17)	TRT	TRT	0.96295	3.5	3.5	7.5	9.00	NA	3.00	4.00	4.00	4.00	4.00	5.00	5.00	7.00	7.00	10.50
270(1,N17)	TRT	TRT	0.919911	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	8.00	10.00
271(1,O17)	TRT	TRT	0.95078	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	4.00	5.00	5.00	6.00	6.00	7.00	10.00
272(1,P17)	TRT	TRT	0.932259	3	3	8	9.00	NA	4.00	3.00	5.00	4.00	5.00	5.00	6.00	7.00	7.00	12.00
273(1,A18)	TRT	TRT	0.923186	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	7.00	8.00	11.00
274(1,B18)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	8.00	11.00
275(1,C18)	TRT	TRT	0.98165	3.33333	3.33333	7	9.00	NA	3.00	4.00	4.00	4.00	5.00	5.00	6.00	6.00	7.00	10.00
276(1,D18)	TRT	TRT	0.887425	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	5.00	7.00	7.00	10.00
277(1,E18)	TRT	TRT	0.95078	3.33333	3.33333	7	9.00	NA	3.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
278(1,F18)	TRT	TRT	0.895215	2.6	2.6	8	9.00	NA	5.00	3.00	6.00	5.00	5.00	6.00	7.00	8.00	8.00	13.00
279(1,G18)	TRT	TRT	0.95078	3.66667	3.66667	8	9.00	NA	3.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
280(1,H18)	TRT	TRT	0.956717	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	6.00	8.00	7.00	11.00
281(1,I18)	TRT	TRT	0.851998	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	6.00	4.00	5.00	7.00	6.00	8.00	11.00
282(1,J18)	TRT	TRT	0.96295	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
283(1,K18)	TRT	TRT	0.934947	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	4.00	5.00	5.00	6.00	7.00	7.00	10.00
284(1,L18)	TRT	TRT	0.83983	2.6	2.6	8	9.00	NA	5.00	3.00	5.00	5.00	5.00	5.00	5.00	6.00	7.00	13.00
285(1,M18)	TRT	TRT	0.96295	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
286(1,N18)	TRT	TRT	0.903359	3.33333	3.33333	7	9.00	NA	3.00	3.00	5.00	5.00	4.00	5.00	5.00	6.00	8.00	10.00
287(1,O18)	TRT	TRT	0.932259	3.66667	3.66667	8	9.00	NA	3.00	3.00	5.00	5.00	4.00	5.00	6.00	7.00	7.00	11.00
288(1,P18)	TRT	TRT	0.975456	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	5.00	6.00	6.00	6.00	7.00	11.00
289(1,A19)	TRT	TRT	0.938721	3.33333	3.33333	7	9.00	NA	3.00	3.00	5.00	4.00	4.00	5.00	6.00	7.00	7.00	10.00
290(1,B19)	TRT	TRT	0.887425	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.00	11.00
291(1,C19)	TRT	TRT	0.96295	2.5	2.5	6	9.00	NA	4.00	4.00	4.00	4.00	5.00	5.00	6.00	6.00	7.00	10.00
292(1,D19)	TRT	TRT	0.98165	3.66667	3.66667	8	9.00	NA	3.00	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
293(1,E19)	TRT	TRT	0.922481	3.66667	3.66667	8	9.00	NA	3.00	3.00	5.00	5.00	4.00	5.00	6.00	6.00	6.00	11.00
294(1,F19)	TRT	TRT	0.972423	2.875	2.875	7.5	9.00	NA	4.00	3.50	4.50	5.00	5.00	5.00	6.00	7.00	7.00	11.50
295(1,G19)	TRT	TRT	0.934725	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	5.00	4.00	6.00	6.00	7.00	8.00	11.00
296(1,H19)	TRT	TRT	0.910015	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	4.00	6.00	6.00	6.00	8.00	12.00
297(1,I19)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
298(1,J19)	TRT	TRT	0.950604	3.66667	3.66667	8	9.00	NA	3.00	4.00	4.00	5.00	4.00	6.00	6.00	6.00	7.00	11.00
299(1,K19)	TRT	TRT	0.96295	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
300(1,L19)	TRT	TRT	0.897085	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	6.00	4.00	5.00	6.00	6.50	8.00	11.00
301(1,M19)	TRT	TRT	0.938721	3	3	8	9.00	NA	4.00	4.00	5.00	4.50	4.50	5.00	6.00	6.00	7.00	12.00
302(1,N19)	TRT	TRT	0.963433	3.33333	3.33333	7	9.00	NA	3.00	2.50	4.00	4.50	4.00	5.00	6.00	7.00	7.00	10.00
303(1,O19)	TRT	TRT	0.864473	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	5.00	7.00	7.00	10.00
304(1,P19)	TRT	TRT	0.924959	2.5	2.5	6	9.00	NA	4.00	4.00	4.00	5.00	4.00	6.00	7.00	7.00	7.00	10.00
305(1,A20)	TRT	TRT	0.897549	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
306(1,B20)	TRT	TRT	0.867941	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	5.00	6.00	8.00	11.00
307(1,C20)	TRT	TRT	0.887425	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	6.00	6.00	7.00	11.00
308(1,D20)	TRT	TRT	0.763167	2.66667	2.66667	7.5	9.00	NA	4.50	4.00	4.00	5.00	5.00	6.00	4.00	6.50	8.00	12.00
309(1,E20)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
310(1,F20)	TRT	TRT	0.910877	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	7.00	6.00	8.00	11.00
311(1,G20)	TRT	TRT	0.889638	3.33333	3.33333	7	9.00	NA	3.00	3.00	5.00	5.00	4.00	4.00	6.00	6.00	7.00	10.00
312(1,H20)	TRT	TRT	0.779246	2.75	2.75	7	9.00	NA	4.00	4.00	6.00	6.00	4.00	5.00	6.00	6.00	7.00	11.00
313(1,I20)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
314(1,J20)	TRT	TRT	0.953545	2.75	2.75	7	9.00	NA	4.00	3.50	5.00	5.00	5.00	5.00	6.00	6.00	8.00	11.00
315(1,K20)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	8.00	11.00
